ID	chrom	start	end	Gene	isSuper	Oct4	Sox2	Nanog	Klf4	Esrrb	H3K27ac	Med1	H3K4me1	DNase
INT_STITCHED_2152	chr4	118743867	118745786	NM_011400	YES	3549.5743	2850.4826	4272.8454	3041.615	6967.6971	11522.0598	29167.6486	724.4225	7147.3155
INT_STITCHED_2175	chr4	123300547	123303179	NM_009600	YES	3447.1304	4905.2584	6814.7744	2174.5584	4338.0624	5205.0432	7740.9752	2731.4896	3980.1104
INT_STITCHED_2192	chr4	125211671	125223450	NM_008049	YES	7416.0584	4029.5959	5956.6403	2507.7491	21490.7855	14519.9733	8632.8291	8131.0437	5295.8384
INT_STITCHED_2205	chr4	126875757	126879027	NM_198618	YES	4425.945	3838.653	3842.25	2751.051	9522.24	15169.53	7010.88	2870.406	4263.426
INT_STITCHED_2223	chr4	130178808	130180168	NM_001159603	YES	1393.184	2401.896	1023.944	4690.368	2639.352	6020.312	10637.784	70.856	7240.912
INT_STITCHED_2224	chr4	130195646	130196547	NM_001159603	YES	1408.4432	2032.8362	2501.9869	1232.0274	6152.1181	3709.8675	6900.3085	1624.9535	2558.7499
INT_STITCHED_2265	chr4	137148873	137153839	NM_130879	YES	3158.8726	1577.6982	4537.4342	1336.3506	5354.8378	28132.8866	8386.0842	794.56	5791.3492
INT_STITCHED_2268	chr4	137329436	137357766	NM_007431	YES	10371.613	8193.036	7898.404	3663.069	12606.85	41633.768	10363.114	24222.15	9807.846
INT_STITCHED_2273	chr4	138000554	138006368	NM_025451	YES	5450.625	3262.2354	2550.0204	1788.9678	6153.5376	8085.5298	5826.2094	3044.7918	4835.5038
INT_STITCHED_2291	chr4	140826072	140840922	NM_010139	YES	5591.025	3323.43	2371.545	10314.81	13785.255	76816.08	52505.145	15644.475	10507.86
INT_STITCHED_2292	chr4	141120768	141126477	NR_030695	YES	4183.5552	7054.0404	6507.6891	4510.11	9315.9462	5197.4736	21301.9917	6491.133	10973.8398
INT_STITCHED_2295	chr4	141616653	141627603	NR_027137	YES	6736.44	4435.845	3989.085	5283.375	24647.355	48220.515	17706.15	14089.365	8254.11
INT_STITCHED_2297	chr4	141721916	141726166	NM_144531	YES	2776.95	2692.8	3692.825	1618.4	8800.475	30834.175	10247.6	3843.7	2684.3
INT_STITCHED_2317	chr4	147459254	147463850	NM_009642	YES	2174.8272	2084.7456	4015.0656	2488.2744	9998.598	22321.8528	6892.6212	2042.0028	4436.9784
INT_STITCHED_2354	chr4	154537213	154538078	NM_011385	YES	1152.699	407.761	810.9375	1136.956	14451.382	6004.311	6139.078	388.4715	534.1375
INT_STITCHED_2355	chr4	154563584	154564383	NM_011385	YES	682.5058	1147.7635	849.0973	1034.1457	3970.3908	3373.9373	6433.1485	523.6646	398.3015
INT_STITCHED_2465	chr5	33873714	33880481	NM_178390	YES	10707.4241	7463.3243	15056.575	3437.636	19200.6858	23131.6361	13188.883	4914.1954	7772.5762
INT_STITCHED_2510	chr5	53933177	53947327	NM_001080928	YES	4041.24	1702.245	3697.395	1724.885	23943.215	12648.685	13767.95	16445.13	12035.99
INT_STITCHED_2535	chr5	65255735	65256794	NM_008453	YES	1626.5181	2123.6127	1876.9716	5404.077	8088.3243	5152.9881	12018.3792	522.1929	3919.7826
INT_STITCHED_2712	chr5	113758941	113775389	NR_030152	YES	7872.0128	4477.1456	5510.08	3534.6752	8699.3472	26925.376	14618.9824	8135.1808	11102.4
INT_STITCHED_2736	chr5	116845764	116860853	NM_030704	YES	6020.511	5424.4955	7167.275	1970.6234	12898.0772	17518.329	8427.2065	14895.8608	5990.333
INT_STITCHED_2745	chr5	118884660	118896412	NM_172424	YES	9039.6384	7702.2608	12524.1064	5722.0488	30434.1544	24088.0744	23117.3592	12097.5088	21646.0088
INT_STITCHED_2746	chr5	118951444	118960269	NM_172424	YES	1591.1475	1603.5025	1777.355	2435.7	6501.3775	4774.325	7617.74	7035.29	2968.73
INT_STITCHED_2752	chr5	120029649	120037063	NM_011535	YES	4494.3668	5636.1228	13246.5938	3603.9454	10840.0094	6323.4006	10347.7198	8704.036	5283.9578
INT_STITCHED_2754	chr5	120129592	120171482	NM_011535	YES	17208.412	15428.087	27429.572	6455.249	19177.242	33771.718	25862.886	14774.603	20886.354
INT_STITCHED_2770	chr5	123584659	123590728	NM_175092	YES	5735.8119	4324.1625	8744.8221	4842.4551	6867.6804	41539.8774	20238.9012	1546.3812	14909.1054
INT_STITCHED_2830	chr5	135417523	135421698	NM_009903	YES	5482.1925	2954.23	4615.4625	1747.655	6030.7875	14537.7675	8870.6225	3303.26	5255.9075
INT_STITCHED_3005	chr6	31834643	31852445	NM_029587	YES	2983.6152	2016.9666	3854.133	1025.3952	19738.8576	2944.4508	10608.2118	6939.2196	6163.0524
INT_STITCHED_3044	chr6	39370384	39371286	NM_018810	YES	1509.6774	552.3848	387.4992	229.6492	3211.3906	2802.4238	5885.3696	428.1794	5024.591
INT_STITCHED_3045	chr6	39395571	39396779	NM_018810	YES	4809.652	4635.2168	4995.3216	223.2384	55.0848	1090.22	11446.5248	593.2488	6687.488
INT_STITCHED_3120	chr6	64961359	64985161	NM_007958	YES	8045.076	6202.8012	10270.563	3394.1652	16832.7744	16182.9798	32418.324	14935.755	15928.2984
INT_STITCHED_3130	chr6	67061148	67064202	NM_007836	YES	4287.5106	4272.546	5623.0248	1734.0612	14812.8162	12572.4018	9648.1968	4507.0932	7382.7396
INT_STITCHED_3184	chr6	83839914	83844315	NM_001166371	YES	7019.1549	9038.3337	8832.807	507.8754	8367.6213	4930.0002	8065.7127	6242.3784	3058.695
INT_STITCHED_3217	chr6	91640161	91661247	NM_009320	YES	6043.2476	5172.3958	7607.8288	4402.7568	10095.9768	38195.1804	9868.248	17918.8828	7633.132
INT_STITCHED_3342	chr6	122290093	122293017	NM_007905	YES	10172.596	12137.2316	11915.8848	2683.0624	14228.184	5097.7016	39750.9028	1929.84	14655.9652
INT_STITCHED_3347	chr6	122612514	122614260	NM_139218	YES	1462.275	1233.3744	1688.9058	607.608	2806.1712	4095.5922	5805.45	1162.3122	2356.0524
INT_STITCHED_3348	chr6	122640118	122657871	NM_028016	YES	9520.9339	5537.1607	5874.4677	4425.8229	8281.7745	22825.0321	24332.2618	13330.7277	12899.3298
INT_STITCHED_3349	chr6	122714316	122720862	NM_011401	YES	3549.8958	3432.7224	6245.5386	3678.1974	14236.2408	19859.9094	20774.3856	6828.1326	9570.252
INT_STITCHED_3360	chr6	125383335	125398024	NM_007657	YES	4054.164	4723.9824	9218.8164	5907.9158	11426.5731	25758.6304	9984.1133	12632.54	6736.3754
INT_STITCHED_3429	chr6	142458188	142461905	NM_008492	YES	4047.0696	3854.1573	6882.0255	472.059	16418.7324	1726.9182	5957.2359	4009.1562	1182.006
INT_STITCHED_3437	chr6	143047309	143065758	NM_029081	YES	4182.3883	2542.2722	3330.0445	2455.5619	6363.0601	19030.1435	11143.196	9434.8186	6953.4281
INT_STITCHED_3450	chr6	145223385	145225674	NM_021284	YES	5474.8302	5268.5913	7708.6653	952.224	2973.8688	4654.6815	5803.7595	1948.8546	4739.8323
INT_STITCHED_3467	chr7	3193004	3218183	NR_029640	YES	15704.1423	16381.4574	17804.0709	7526.0031	32974.4184	43869.3717	133680.3468	29701.1484	28590.7545
INT_STITCHED_3475	chr7	4772296	4777612	NM_133777	YES	3057.7632	2410.2744	2324.6868	1580.9784	13670.094	11781.8508	8098.926	8825.0916	4272.4692
INT_STITCHED_3481	chr7	13599334	13600325	NM_001024699	YES	3620.0239	2309.6246	5507.4825	1499.6803	9138.5065	1257.9754	7601.7628	1314.9579	5919.5403
INT_STITCHED_3523	chr7	30982397	30983339	NM_009795	YES	1185.6012	752.7522	864.756	170.4078	3291.819	3414.0906	8402.0748	354.7572	2081.4432
INT_STITCHED_3525	chr7	31248315	31250619	NR_004443	YES	3220.0704	2920.5504	1685.8368	1502.4384	11379.9168	7567.0272	11889.1008	1608.192	3641.7024
INT_STITCHED_3550	chr7	38812914	38816123	NM_011274	YES	5065.4065	3843.0984	4823.127	2354.4433	7701.2791	3012.6092	9164.904	3915.3009	6113.145
INT_STITCHED_3568	chr7	52806853	52814768	NM_025330	YES	4970.62	3635.3595	4914.4235	2086.394	6715.086	12840.5045	6701.6305	8271.9665	5605.403
INT_STITCHED_3576	chr7	56592909	56604632	NM_175272	YES	11817.9563	9726.5731	9150.9738	0	556.8425	14720.5711	6400.758	9022.0208	3657.576
INT_STITCHED_3601	chr7	71092246	71102481	NM_021366	YES	9869.6105	6943.424	3253.7065	3464.5475	22812.7915	29872.8945	10983.1785	13319.829	6849.262
INT_STITCHED_3652	chr7	86355826	86368339	NM_018811	YES	3134.5065	1836.9084	3162.0351	1093.6362	5159.1099	7345.131	9091.9458	7733.034	6221.4636
INT_STITCHED_3658	chr7	87159908	87169963	NM_001146000	YES	2083.396	3042.643	2999.4065	2870.7025	11326.9575	15330.8585	7482.931	9426.5625	6600.102
INT_STITCHED_3661	chr7	87274999	87276022	NM_173011	YES	1495.7283	1601.8134	3861.5181	2261.1369	18592.7181	3803.2071	14459.1843	917.631	3923.9211
INT_STITCHED_3662	chr7	87333420	87345334	NM_013659	YES	4457.0274	1423.723	2879.6138	1124.6816	4300.954	27493.9378	6434.7514	11221.7966	8563.7832
INT_STITCHED_3685	chr7	91027196	91051830	NM_023403	YES	5577.1376	3870.0014	3648.2954	3823.1968	13593.0412	42353.2362	6715.2284	12250.4882	12442.6334
INT_STITCHED_3765	chr7	119831735	119835688	NM_001166584	YES	10367.9284	8897.8077	14309.0694	4081.4725	11016.6157	9191.9109	7769.2262	3798.0424	9978.5579
INT_STITCHED_3856	chr7	140304156	140307245	NM_009980	YES	3042.665	2440.9278	2414.6713	4665.3167	5363.7396	9175.5656	17788.3154	1985.6092	6558.2559
INT_STITCHED_3890	chr7	147131117	147136231	NM_009482	YES	4642.4892	1847.1768	5862.1782	295.0778	10075.6028	11379.6728	13567.442	4703.3458	5143.6612
INT_STITCHED_3914	chr7	152036872	152050716	NM_010202	YES	7023.0612	3948.3088	7848.1636	2167.9704	28097.7824	61561.4992	31083.9332	11162.4172	9791.8612
INT_STITCHED_3947	chr8	12499468	12504771	NM_024279	YES	7484.1239	5907.0117	4255.1272	914.7675	1498.0975	10266.0777	9826.459	5411.1812	2990.892
INT_STITCHED_4014	chr8	35023426	35027483	NM_019733	YES	5109.3858	4131.6488	4557.2281	3276.0275	2946.5991	10366.0407	7597.1382	2505.6032	8967.5928
INT_STITCHED_4033	chr8	37602064	37613850	NM_176952	YES	5037.3364	4281.8538	5551.206	2484.4888	13787.2628	22585.5118	55684.1356	11195.5214	13392.4318
INT_STITCHED_4034	chr8	37642521	37671979	NM_015802	YES	10357.4328	7488.2236	10036.3406	1847.0166	19409.8762	40713.9018	22199.5488	29210.5528	9347.0234
INT_STITCHED_4046	chr8	44405736	44406755	NM_009556	YES	1426.1924	1924.5853	4446.1008	4515.3928	9546.9091	854.5334	8185.7289	284.7086	4849.0134
INT_STITCHED_4116	chr8	74834685	74840663	NM_008452	YES	9927.6646	9678.9798	7822.213	1395.863	1249.402	10571.4952	8582.0168	8797.8226	3874.9396
INT_STITCHED_4163	chr8	87174072	87174643	NM_010499	YES	801.3985	1017.3507	2095.9697	2593.482	15389.0781	1832.91	13105.5349	381.1996	2240.8324
INT_STITCHED_4167	chr8	87996475	87997654	NM_173866	YES	3232.9359	3702.1779	5501.8035	793.2312	4808.9052	1514.0718	9484.1118	417.2481	4214.6892
INT_STITCHED_4179	chr8	91514813	91540176	NM_021390	YES	13756.8912	13533.6968	23186.8546	10728.549	19823.7208	33722.6448	38158.6335	18930.9432	15035.1864
INT_STITCHED_4190	chr8	93351924	93355292	NM_177224	YES	4053.0512	3399.3224	3276.7272	2254.5392	1045.764	14101.816	9415.244	2296.976	4851.604
INT_STITCHED_4546	chr9	56382386	56395769	NM_025812	YES	3569.2461	1844.1774	2206.8567	3161.0646	19792.1187	11273.8392	8448.6879	8077.9788	4231.7046
INT_STITCHED_4555	chr9	58119837	58128504	NM_026942	YES	9640.3041	12542.0157	17026.3215	3411.3312	13540.4541	24171.3963	32669.3898	15374.3913	15992.3484
INT_STITCHED_4657	chr9	78207143	78223442	NM_025274	YES	17066.6829	13639.0032	22802.301	2347.056	17387.7732	21848.8095	39582.1215	17870.2236	14290.9632
INT_STITCHED_4748	chr9	110849422	110863371	NM_028838	YES	8497.7308	5751.1727	8037.4138	7524.0906	26285.4956	43325.594	84137.5782	16189.2094	13576.5617
INT_STITCHED_4766	chr9	114458126	114474355	NM_001042503	YES	5444.8295	3041.3146	5558.4325	2874.1559	4359.1094	52974.7018	10128.5189	9664.3695	10397.9203
INT_STITCHED_4797	chr9	120585871	120600072	NM_025974	YES	6761.0961	3351.436	4764.4355	1201.4046	4869.5229	4780.0566	6545.2409	8558.9427	3804.4479
INT_STITCHED_4802	chr9	121244501	121254102	NM_175114	YES	2644.1154	4690.0885	3067.5195	1787.7062	15063.969	19729.0949	6386.5852	11058.4318	5248.8667
INT_STITCHED_4885	chr10	20802131	20830236	NM_001177776	YES	13318.9595	15218.8575	14460.0225	2712.1325	13501.642	9406.7435	6503.497	13914.7855	7875.021
INT_STITCHED_4891	chr10	21546502	21549691	NM_001161845	YES	4502.868	5943.9771	6586.5606	231.8403	1154.418	9262.7694	9177.3042	2367.5136	6473.3511
INT_STITCHED_4893	chr10	21700576	21708946	NM_001161848	YES	8884.755	6109.263	11006.55	1007.748	8618.589	8169.957	14088.384	10619.856	4702.266
INT_STITCHED_4954	chr10	39977900	39978752	NM_026113	YES	859.9236	376.7544	587.88	2128.4664	538.7196	293.1732	15572.0892	198.2604	3811.7628
INT_STITCHED_4981	chr10	44110139	44112766	NR_035450	YES	4958.9879	3867.9948	5254.2627	2760.977	5080.8807	2929.6304	7126.0002	1677.6022	5039.3741
INT_STITCHED_5021	chr10	59420365	59437537	NM_029083	YES	7847.604	7342.7472	12406.77	2567.214	9260.8596	13282.542	7227.6948	11256.246	4006.2276
INT_STITCHED_5044	chr10	62346394	62361563	NM_027384	YES	9906.8739	7408.5396	14020.7067	6187.4351	32100.6378	38491.3375	70613.2119	11302.4219	17454.9683
INT_STITCHED_5054	chr10	66380351	66383761	NM_178606	YES	7627.829	5485.667	11443.96	1263.405	7344.117	1871.067	7981.446	3237.795	4673.405
INT_STITCHED_5059	chr10	66546199	66564235	NM_178606	YES	12830.8104	7216.2036	19666.4544	2113.8192	12547.6452	19433.79	9194.7528	8347.0608	13068.8856
INT_STITCHED_5091	chr10	75335464	75345568	NM_024440	YES	5783.5296	2043.0288	1793.46	1874.292	8971.3416	16203.7848	9375.5016	6291.7608	4684.2144
INT_STITCHED_5092	chr10	75400370	75401358	NM_175329	YES	968.0424	1609.452	1663.1004	1162.4808	7300.826	2041.3068	7224.3548	280.592	1968.59
INT_STITCHED_5100	chr10	76655655	76662360	NM_009929	YES	3581.811	2836.215	5123.2905	1636.6905	9428.571	11969.766	7126.7445	6815.6325	6678.8505
INT_STITCHED_5111	chr10	79508474	79515168	NM_008162	YES	9137.9794	6293.6988	8508.7434	2436.616	10178.8964	29310.3484	17374.9464	9707.6388	8157.3084
INT_STITCHED_5140	chr10	85002060	85006553	NM_001017525	YES	7352.7945	8382.1408	9122.1379	5658.4842	16757.9914	14124.6441	9517.0726	5650.3968	7796.7029
INT_STITCHED_5325	chr11	8466451	8486876	NM_001083587	YES	4295.3775	6864.8425	7591.9725	4164.6575	26619.9025	36591.3875	15480.1075	21270.595	14859.1875
INT_STITCHED_5331	chr11	9015537	9017663	NM_001159401	YES	4476.7182	5671.5302	5250.7948	1680.1778	16223.7186	4867.0518	11536.9516	1064.4882	6255.5424
INT_STITCHED_5340	chr11	12357626	12370205	NM_172496	YES	7749.9219	6131.0046	8680.7679	3967.4166	15597.96	18399.3033	14205.4647	10400.3172	4549.8243
INT_STITCHED_5427	chr11	33427175	33451476	NM_023146	YES	9448.2288	13416.5821	22682.5534	6315.8299	15868.553	25239.0186	18415.2978	21664.3415	15987.6279
INT_STITCHED_5484	chr11	52173182	52184686	NM_011694	YES	3941.2704	1493.2192	1630.1168	1703.7424	5960.2224	39122.8032	6216.7616	6534.272	5210.1616
INT_STITCHED_5499	chr11	54767341	54785832	NM_021327	YES	3981.1123	4574.6734	8376.423	2736.668	7854.9768	30680.2672	7207.7918	12740.299	5967.0457
INT_STITCHED_5533	chr11	62324296	62327251	NM_028448	YES	8217.264	4164.4815	6482.3835	3449.3715	5250.444	18190.0935	6423.8745	2767.062	10832.1435
INT_STITCHED_5553	chr11	66733372	66746990	NM_178656	YES	3640.0914	3192.0592	3108.9894	1402.654	6235.6822	7973.339	7356.4436	10744.602	3279.2144
INT_STITCHED_5555	chr11	66824791	66838230	NM_177392	YES	9506.7486	5985.7306	13183.659	3238.799	7387.4183	18186.9987	13430.9366	10221.7034	9778.2164
INT_STITCHED_5565	chr11	69517060	69522803	NM_001034097	YES	4051.6865	3865.6133	3613.4956	2252.9789	6880.114	19678.9638	13817.658	5930.7961	8785.0671
INT_STITCHED_5597	chr11	77697704	77718786	NM_008952	YES	13416.5848	7410.323	6039.993	1699.2092	16435.5272	31327.852	16382.8222	17348.3778	11236.706
INT_STITCHED_5666	chr11	88481360	88491812	NM_054043	YES	7010.1564	6547.1328	6663.15	2592.096	15679.0452	17915.7732	11933.0484	11579.7708	6225.2112
INT_STITCHED_5711	chr11	97517673	97524159	NM_139311	YES	3571.1916	3062.0406	3632.16	8176.9002	20105.3028	26553.0354	28794.597	1150.6164	13781.4528
INT_STITCHED_5719	chr11	98823511	98826466	NM_001176528	YES	2701.7565	4686.63	1378.5075	1862.241	11592.7605	19115.895	6930.066	567.951	2746.0815
INT_STITCHED_5741	chr11	102190649	102193692	NM_011551	YES	8674.6801	8737.6702	5907.0716	695.6298	5024.2973	6681.2108	9652.7003	4062.405	2246.6469
INT_STITCHED_5752	chr11	104150171	104167544	NM_010838	YES	4117.401	1789.419	2013.5307	4450.9626	11393.2134	30307.1985	11808.4281	12230.592	12951.5715
INT_STITCHED_5768	chr11	107296669	107310982	NM_145823	YES	4143.6135	2428.9161	4534.3584	5649.3411	8991.4266	15677.0289	8594.9565	13532.9415	6721.3848
INT_STITCHED_5819	chr11	116943025	116953583	NR_027059	YES	4177.8006	1937.393	4915.8048	4628.6272	23652.0316	31635.9912	17177.866	11204.1496	8945.7934
INT_STITCHED_5831	chr11	117833701	117838253	NM_007707	YES	3540.0904	6017.744	4430.4616	2974.732	17875.704	19930.4768	18571.2496	5783.316	6370.524
INT_STITCHED_5875	chr12	12790432	12795881	NM_008709	YES	7094.598	6993.2466	9088.3871	5959.5713	21387.325	17794.7993	21915.878	6405.2995	6036.4022
INT_STITCHED_5876	chr12	12810177	12811020	NM_008709	YES	4085.6838	3137.9832	1535.5245	724.8114	14476.1646	842.5785	7204.5309	1083.0864	1186.4382
INT_STITCHED_5880	chr12	12933791	12950936	NM_008709	YES	13498.2585	9952.6725	12190.095	3797.6175	12582.7155	45948.6	19835.0505	6998.589	17964.531
INT_STITCHED_5995	chr12	55407498	55415046	NR_033689	YES	3004.104	1716.4152	2382.1488	768.3864	3686.4432	9793.53	11808.0912	5184.7212	1798.6884
INT_STITCHED_6000	chr12	56587347	56607146	NM_010907	YES	5383.3481	4951.7299	9927.2186	5761.509	6757.3987	23533.0914	7796.8462	10917.1686	8351.2182
INT_STITCHED_6004	chr12	57385208	57400114	NM_145442	YES	8174.4504	7770.4978	18537.1016	2074.9152	24636.6368	0	5867.0016	6910.4216	4354.0426
